Designator,Mid X,Mid Y,Rotation,Layer
C1,143.6,-87.2,270.0,bottom
J3,152.95,-86.09,270.0,bottom
R1,143.6,-82.4,270.0,bottom
SW1,134.95,-87.05,180.0,bottom
