Designator,Mid X,Mid Y,Rotation,Layer
D1,150.225,-115.25,90.0,top
J1,92.2,-114.0,0.0,top
J2,136.890614,-114.478074,0.0,top
R3,148.4,-112.2,90.0,top
RV1,84.203957,-114.002886,0.0,top
RV2,100.199999,-114.001016,0.0,top
RV3,108.195216,-114.005011,0.0,top
RV4,116.2,-114.0,0.0,top
